MISSING FUNCTIONS REPORT
================================================================================

Total functions in symbols.txt: 18539
Functions in asm_decomp: 10876
Functions matched: 9880
Missing functions: 1261

ALL MISSING FUNCTIONS (sorted by size):
--------------------------------------------------------------------------------
0x803282F4     32B  EShaderManager__AddRef_char_ptr__EFile_ptr__int
0x80328374     32B  ESoundEventManager__GetHeap_void
0x80328478     32B  ESoundEventManager__AddRef_char_ptr__EFile_ptr__int
0x803285B8     32B  ESoundTrackDataManager__AddRef_unsigned_int__EFile_ptr__int
0x803285D8     32B  ESoundTrackDataManager__AddRef_char_ptr__EFile_ptr__int
0x80328658     32B  ETextureManager__GetHeap_void
0x80328750     32B  ETextureManager__AddRef_unsigned_int__EFile_ptr__int
0x80328770     32B  ETextureManager__AddRef_char_ptr__EFile_ptr__int
0x803288B8     32B  EffectsAttachmentManager__AddRef_unsigned_int__EFile_ptr__int
0x803288D8     32B  EffectsAttachmentManager__AddRef_char_ptr__EFile_ptr__int
0x80328A18     32B  EffectsEmitterManager__AddRef_unsigned_int__EFile_ptr__int
0x80328A38     32B  EffectsEmitterManager__AddRef_char_ptr__EFile_ptr__int
0x80328B70     32B  EffectsSequencerManager__AddRef_unsigned_int__EFile_ptr__int
0x80328B90     32B  EffectsSequencerManager__AddRef_char_ptr__EFile_ptr__int
0x8032B6D4     32B  ParticleManager__AddRef_unsigned_int__EFile_ptr__int
0x8032B6F4     32B  ParticleManager__AddRef_char_ptr__EFile_ptr__int
0x8032CDA0     32B  ENgcAudioSampleManager__Shutdown_void
0x8032D94C     32B  EAudioSampleManager__AddRef_unsigned_int__EFile_ptr__int
0x8032D96C     32B  EAudioSampleManager__AddRef_char_ptr__EFile_ptr__int
0x8032FE7C     32B  ENgcMemoryCard__ENgcMemoryCard_void
0x80336368     32B  ENgcMovie__PlayerGetTotalFrame_void
0x8035B44C     32B  EFloatTree__EFloatTree_void
0x8036047C     32B  ERTQuantize4D__FreeNode_unsigned_short
0x8036049C     32B  ERTQuantize4D__IndexToNode_unsigned_short
0x80360614     32B  EStringRedBlackTreeNoCase__EStringRedBlackTreeNoCase_void
0x80375B7C     32B  __ARClearInterrupt
0x80377CCC     32B  ARQSetChunkSize
0x803781CC     32B  __AXPushFreeStack
0x8037875C     32B  __AXGetAuxAInputDpl2
0x80378798     32B  __AXGetAuxAOutputDpl2R
0x803787B8     32B  __AXGetAuxAOutputDpl2Ls
0x803787D8     32B  __AXGetAuxAOutputDpl2Rs
0x8037BBD0     32B  __MIXClampPan
0x8037CB48     32B  MIXReleaseChannel
0x8037D180     32B  MIXSetDvdStreamFader
0x8038B184     32B  GXPokeAlphaRead
0x8038B274     32B  GXPokeZMode
0x8038B2B8     32B  GXPokeARGB
0x8038B2FC     32B  GXPokeZ
0x8038B9E4     32B  GXGetPointSize
0x8038E154     32B  GXGetTlutRegionAll
0x803920E8     32B  __GXSetBWDials
0x80392DFC     32B  __VMDoesMappingExist
0x8039AC08     32B  _savefpr_25
0x8039AC54     32B  _savegpr_25
0x8039ACA0     32B  _restfpr_25
0x8039ACEC     32B  _restgpr_25
0x8039AD44     32B  _restfpr_28_x
0x8039AD9C     32B  _restgpr_28_x
0x80003468     36B  __init_hardware
0x800B45FC     36B  CTilePt__CTilePt_FTilePt_ref__int
0x800BCA10     36B  IconGroupImpl__IconGroupImpl_void
0x8014AB4C     36B  WantFear__Tree__GetNthChildOfNode_WantFear__Node_ptr__short__const
0x8015A7CC     36B  QuickDataBehaviorConstants__GetValue_int__const
0x801AE220     36B  E2ETarget__OnEnterSettings_void
0x801BE548     36B  K2YTarget__IsModeValid_void
0x801E9248     36B  GetVar_EYE_exists__Handler_char_ptr
0x801F65A4     36B  INVTarget__GetOnMsgInvExists_char_ptr
0x8022E1C8     36B  EIStaticModel__IsSkydome_void__const
0x8024028C     36B  EnaDvdBP
0x80241378     36B  fabsf
0x802432B0     36B  rand
0x8024BAA8     36B  __OSDBINTSTART
0x8024CE40     36B  LCLoadBlocks
0x8024CE64     36B  LCStoreBlocks
0x8024D9A0     36B  OSClearContext
0x8024F578     36B  OSRestoreInterrupts
0x80250408     36B  OSLink
0x802524FC     36B  __OSUnlockSram
0x80252520     36B  __OSUnlockSramEx
0x8025A5C0     36B  SIProbe
0x8025A820     36B  SIRefreshSamplingRate
0x8025A9D0     36B  PSVECAdd
0x8025AA28     36B  PSVECSubtract
0x8025AB9C     36B  C_VECSquareMag
0x8025B5A0     36B  DVDClose
0x8025BBDC     36B  cbForReadSync
0x8025BD74     36B  cbForSeekSync
0x8025C208     36B  cbForPrepareStreamSync
0x8025D950     36B  __DVDSetImmCommand
0x8025F200     36B  cbForChangeDiskSync
0x8025F394     36B  cbForStopMotorSync
0x8025F550     36B  cbForInquirySync
0x8025FA7C     36B  cbForCancelSync
0x802C6B7C     36B  EFileSystem__FileCreator__TallyBits_int__int__int__const
0x802D5A10     36B  ETypeInfo__IsDerivedFrom_ETypeInfo_ptr
0x802D739C     36B  FastAllocPool__Free_void_ptr
0x802D94A0     36B  EA__Allocator__GeneralAllocator__GetBlockInfoForCoreBlock_EA__Allocator__GeneralAllocator__CoreBlock_ptr__EA__Allocator__GeneralAllocator__BlockInfo_ptr__const
0x802DB0E8     36B  EA__Allocator__GeneralAllocator__SetAutoHeapValidation_EA__Allocator__GeneralAllocator__HeapValidationLevel__unsigned_int
0x802E0E90     36B  EMemoryReadStream__EMemoryReadStream_void_ptr
0x802E0EC4     36B  EMemoryBufferWriteStream__EMemoryBufferWriteStream_void_ptr
0x802E67F4     36B  E3DWindow__GetFOVLengths_float_ptr__float_ptr
0x80300950     36B  EWindow__Transform_float__float__float_ref__float_ref
0x80306A4C     36B  MemSet32_void_ptr__unsigned_int__int
0x8030C6F8     36B  Add2Bytes_unsigned_char_ptrr__unsigned_short
0x8030C71C     36B  Add1Byte_unsigned_char_ptrr__unsigned_char
0x80324510     36B  EControllerManager__BitToIndex_unsigned_int
0x8032CDC0     36B  ENgcAudioSampleManager__CanCache_EResource_ptr
0x80377CFC     36B  AXInit
0x803781EC     36B  __AXPopFreeStack
0x803791E0     36B  __AXClInit
0x80385470     36B  CARDRand
0x803871DC     36B  __GXDefaultTlutRegionCallback
0x80388EF8     36B  __GXFifoReadEnable
0x80388F1C     36B  __GXFifoReadDisable
0x8038B128     36B  GXPixModeSync
0x8038B14C     36B  GXTexModeSync
0x8038B238     36B  GXPokeDstAlpha
0x8038B294     36B  GXPeekARGB
0x8038B2D8     36B  GXPeekZ
0x8038BAC4     36B  __GXSetGenMode
0x8038BE88     36B  GXSetDispCopyFrame2Field
0x8038D8C4     36B  GXInitTexObjEdgeLOD
