# Sims 2 GC Decomp — TU Work Queue
# Generated: 2026-03-29
# 439 TUs | 4654/16211 matched (28%)
# Unmatched functions: 11557
#
# Size distribution (unmatched):
#   <=20 bytes  (getter/setter tier): 517
#   <=100 bytes (easy grind tier):    4355
#   <=500 bytes (medium tier):        9993
#   >500 bytes  (complex tier):       1564
#
# Sorted by TU completion % DESC (closest-to-done first = easiest wins)
# TU_NAME | FUNC_ADDRESS | SIZE | FUNC_NAME | TU_COMPLETION_%
#==========================================================================================

xlingo | 0x801524C8 |   156 | XObjLang::StripPathInformation(char *, StringBuffer &) | 71.4%

# --- e_thread [5/7, 71.4%] ---
e_thread | 0x802E174C |   164 | EThread::SetupStack(int, void *) | 71.4%

# --- xlingo [10/14, 71.4%] ---
xlingo | 0x80152420 |   168 | XObjLang::GetConstantsDataField(short, int, short *) | 71.4%

# --- soundinfo [10/14, 71.4%] ---
soundinfo | 0x801456E0 |   180 | QuickDataSoundInfo::LoadFromDataID(ObjectDataID &) | 71.4%

# --- interactor [20/28, 71.4%] ---
interactor | 0x802091BC |   196 | InteractorModule::Interactor::Interactor(void) | 71.4%

# --- timer [5/7, 71.4%] ---
timer | 0x80076F3C |   392 | Timer_StartFrame(void) | 71.4%

# --- xlingo [10/14, 71.4%] ---
xlingo | 0x80152564 |   656 | XObjLang::GetGlobalIconName(vector<StackString<64>, allocator<StackString<64> > > &) | 71.4%

# --- e_boundtreenode [15/22, 68.2%] ---
e_boundtreenode | 0x802C5C9C |    40 | EBoundTreeNode::New(void) | 68.2%
e_boundtreenode | 0x802C5DF0 |    40 | EBoundTreeNode::IsBoundTreeNode(EStorable *) | 68.2%
e_boundtreenode | 0x803C1834 |    52 | EBoundTreeNode::~EBoundTreeNode(void) | 68.2%
e_boundtreenode | 0x802C5AE8 |    76 | EBoundTreeNode::Write(EStream &) | 68.2%
e_boundtreenode | 0x802C5B34 |    92 | EBoundTreeNode::Read(EStream &) | 68.2%
e_boundtreenode | 0x802C5A78 |   112 | EBoundTreeNode::EBoundTreeNode(void) | 68.2%
e_boundtreenode | 0x802C5B90 |   156 | EBoundTreeNode::Deallocate(void) | 68.2%

# --- e_engine [23/34, 67.6%] ---
e_engine | 0x802E340C |    44 | EEngine::InitFileSystem(void) | 67.6%
e_engine | 0x802E317C |   128 | EEngine::PostFrameUpdate(void) | 67.6%
e_engine | 0x802E2AB8 |   132 | EEngine::~EEngine(void) | 67.6%
e_engine | 0x802E2CAC |   176 | EEngine::ShutdownThreads(bool) | 67.6%
e_engine | 0x802E2D5C |   220 | EEngine::RetraceUpdate(float) | 67.6%
e_engine | 0x802E2994 |   292 | EEngine::EEngine(void) | 67.6%
e_engine | 0x802E2B4C |   352 | EEngine::Init(void) | 67.6%
e_engine | 0x802E3658 |   352 | EEngine::ShutdownResourceManagers(void) | 67.6%
e_engine | 0x802E3240 |   460 | EEngine::InitSubsystems(void) | 67.6%
e_engine | 0x802E3438 |   544 | EEngine::InitResourceManagers(void) | 67.6%
e_engine | 0x802E2EC8 |   692 | EEngine::PreFrameUpdate(void) | 67.6%

# --- e_app [22/33, 66.7%] ---
e_app | 0x802E271C |    24 | EApp::IsMovieStarting(void) | 66.7%
e_app | 0x802E2734 |    24 | EApp::IsMoviePlaying(void) | 66.7%
e_app | 0x802E26F0 |    32 | EApp::PlayMovie(unsigned int, int, int) | 66.7%
e_app | 0x802E21E0 |    52 | EApp::~EApp(void) | 66.7%

# --- e_audiostreamman [6/9, 66.7%] ---
e_audiostreamman | 0x803C631C |    52 | ERAudioStream::operator delete(void *) | 66.7%

# --- e_visinfodecomp [2/3, 66.7%] ---
e_visinfodecomp | 0x803620F4 |    56 | EVisInfoDecomp::GetFrame(float) | 66.7%

# --- e_audiostreamman [6/9, 66.7%] ---
e_audiostreamman | 0x803C62AC |    80 | ERAudioStream::~ERAudioStream(void) | 66.7%

# --- e_app [22/33, 66.7%] ---
e_app | 0x802E2180 |    96 | EApp::EApp(void) | 66.7%
e_app | 0x802E2414 |   104 | EApp::CreateAndStartAppThread(void) | 66.7%
e_app | 0x802E2214 |   124 | EApp::SetupPaths(void) | 66.7%

# --- e_audiostreamman [6/9, 66.7%] ---
e_audiostreamman | 0x80322EA8 |   172 | EAudioStreamManager::AllocateAndLoadResource(EFile *, unsigned int, unsigned int) | 66.7%

# --- e_app [22/33, 66.7%] ---
e_app | 0x802E2830 |   192 | EApp::GetArg(char *) const | 66.7%
e_app | 0x802E274C |   228 | EApp::SetArgs(int, char **) | 66.7%
e_app | 0x802E2290 |   388 | EApp::Main(void) | 66.7%
e_app | 0x802E24B8 |   568 | EApp::SystemUpdate(void) | 66.7%

# --- e_rtexture [19/29, 65.5%] ---
e_rtexture | 0x8032139C |    44 | ERTexture::operator delete(void *) | 65.5%
e_rtexture | 0x80321364 |    48 | ERTexture::operator new(unsigned int) | 65.5%
e_rtexture | 0x80320BCC |    52 | ERTexture::Attach(ETexture *) | 65.5%
e_rtexture | 0x803213C8 |    60 | ERTexture::Select(ERC *, int) | 65.5%
e_rtexture | 0x80320C00 |    80 | ERTexture::Deallocate(void) | 65.5%
e_rtexture | 0x80320B6C |    96 | ERTexture::~ERTexture(void) | 65.5%
e_rtexture | 0x803210F4 |   140 | ERTexture::IsSafeToDelete(void) | 65.5%
e_rtexture | 0x80320C50 |   176 | ERTexture::Refresh(EFile *) | 65.5%
e_rtexture | 0x80320D00 |   240 | ERTexture::Load(EFile &) | 65.5%
e_rtexture | 0x80320E14 |   736 | ERTexture::LoadFromMemory(unsigned char *) | 65.5%

# --- reffects_attachment [15/23, 65.2%] ---
reffects_attachment | 0x80322A04 |    48 | REffectsAttachment::New(void) | 65.2%
reffects_attachment | 0x80322400 |    80 | REffectsAttachment::REffectsAttachment(void) | 65.2%
reffects_attachment | 0x80322450 |   164 | REffectsAttachment::~REffectsAttachment(void) | 65.2%
reffects_attachment | 0x803228AC |   232 | REffectsAttachment::Refresh(EFile *) | 65.2%
reffects_attachment | 0x80322780 |   300 | REffectsAttachment::Load(EFile *) | 65.2%
reffects_attachment | 0x803224F4 |   652 | REffectsAttachment::OldLoad(EFile *) | 65.2%
reffects_attachment | 0x803C5F34 |   824 | vector<AttachmentNode, allocator<AttachmentNode> >::_M_fill_insert(AttachmentNode *, unsigned int, AttachmentNode &) | 65.2%
reffects_attachment | 0x803C5798 |  1948 | vector<AttachmentNodeV1, allocator<AttachmentNodeV1> >::_M_fill_insert(AttachmentNodeV1 *, unsigned int, AttachmentNodeV1 &) | 65.2%

# --- e_instance [63/97, 64.9%] ---
e_instance | 0x802293A0 |    12 | EInstance::GetTypeInfo(void) const | 64.9%
e_instance | 0x802293AC |    12 | EInstance::GetTypeName(void) const | 64.9%
e_instance | 0x802293B8 |    12 | EInstance::GetTypeKey(void) const | 64.9%
e_instance | 0x802293C4 |    12 | EInstance::GetTypeVersion(void) const | 64.9%
e_instance | 0x802293D0 |    12 | EInstance::GetTypeInfoStatic(void) | 64.9%
e_instance | 0x802293DC |    12 | EInstance::GetReadVersion(void) | 64.9%
e_instance | 0x803C1420 |    12 | EStorable::GetTypeInfo(void) const | 64.9%
e_instance | 0x803C142C |    12 | EStorable::GetTypeName(void) const | 64.9%
e_instance | 0x803C1438 |    12 | EStorable::GetTypeKey(void) const | 64.9%
e_instance | 0x803C1444 |    12 | EStorable::GetTypeVersion(void) const | 64.9%
e_instance | 0x80229270 |    20 | EInstance::GetInstAlpha(void) | 64.9%
e_instance | 0x8022948C |    20 | EInstance::GetInstName(EInstance::InstType &) | 64.9%
e_instance | 0x8022972C |    20 | EInstance::ShouldInterestFade(bool) | 64.9%
e_instance | 0x80229690 |    24 | EInstance::GetVelocity(EVec3 &) | 64.9%
