# Decomp Progress Matrix
# Total: 3861 matched / 20508 functions
# Coverage: 18.8%

TU Name                                  Matched Total      %  Bar
e_ipointamblight                            7/22    31.8%  [###############...................................]
e_ipointlight                              11/29    37.9%  [##################................................]
e_iportalpointlight                        11/31    35.5%  [#################.................................]
e_ispotlight                                7/22    31.8%  [###############...................................]
e_istaticmodel                             16/64    25.0%  [############......................................]
e_istaticsubmodel                          12/47    25.5%  [############......................................]
e_levelman                                  0/7      0.0%  [..................................................]
e_lightgrid                                 4/23    17.4%  [########..........................................]
e_rlevel                                   36/135   26.7%  [#############.....................................]
emitter                                     7/21    33.3%  [################..................................]
emitterspr3d                                1/19     5.3%  [##................................................]
dirtyxml                                   26/67    38.8%  [###################...............................]
xmlparse                                    0/26     0.0%  [..................................................]
versioninfo                                37/1023   3.6%  [#.................................................]
libaptz.a(Apt.cpp)                         10/83    12.0%  [######............................................]
libaptz.a(AptActionInterpreter.cpp)        21/192   10.9%  [#####.............................................]
libaptz.a(AptAnimation.cpp)                10/49    20.4%  [##########........................................]
libaptz.a(AptArray.cpp)                     6/40    15.0%  [#######...........................................]
libaptz.a(AptCharacter.cpp)                13/62    21.0%  [##########........................................]
libaptz.a(AptCIH.cpp)                      32/79    40.5%  [####################..............................]
libaptz.a(AptDate.cpp)                      4/55     7.3%  [###...............................................]
libaptz.a(AptDisplayList.cpp)              11/63    17.5%  [########..........................................]
libaptz.a(AptGC.cpp)                        2/5     40.0%  [####################..............................]
libaptz.a(AptInput.cpp)                     3/20    15.0%  [#######...........................................]
libaptz.a(AptLoad.cpp)                      7/34    20.6%  [##########........................................]
libaptz.a(AptMath.cpp)                      0/5      0.0%  [..................................................]
libaptz.a(AptMiscObjects.cpp)               9/68    13.2%  [######............................................]
libaptz.a(AptMovie.cpp)                     1/9     11.1%  [#####.............................................]
libaptz.a(AptNativeHash.cpp)                1/18     5.6%  [##................................................]
libaptz.a(AptRenderingContext.cpp)          0/11     0.0%  [..................................................]
libaptz.a(AptSound.cpp)                     4/11    36.4%  [##################................................]
libaptz.a(AptString.cpp)                   15/45    33.3%  [################..................................]
libaptz.a(AptTextFormat.cpp)                5/20    25.0%  [############......................................]
libaptz.a(AptValue.cpp)                    52/131   39.7%  [###################...............................]
libaptz.a(AptValueFactory.cpp)              4/8     50.0%  [#########################.........................]
libaptz.a(AptValueGCAllocator.cpp)          0/7      0.0%  [..................................................]
libaptz.a(DogmaAllocator.cpp)               0/15     0.0%  [..................................................]
libaptz.a(AptGlobalObject.cpp)              5/8     62.5%  [###############################...................]
libaptz.a(AptObject.cpp)                    8/27    29.6%  [##############....................................]
libaptz.a(AptScriptColour.cpp)              3/13    23.1%  [###########.......................................]
libaptz.a(AptScriptFunction.cpp)           27/58    46.6%  [#######################...........................]
libaptz.a(AptXml.cpp)                       5/17    29.4%  [##############....................................]
libaptz.a(AptXmlNode.cpp)                   9/23    39.1%  [###################...............................]
libaptz.a(AptBoolean.cpp)                  10/15    66.7%  [#################################.................]
libaptz.a(AptFloat.cpp)                     9/15    60.0%  [##############################....................]
libaptz.a(AptInteger.cpp)                  10/15    66.7%  [#################################.................]
libaptz.a(EAString.cpp)                     4/53     7.5%  [###...............................................]
libaptz.a(StringPool.cpp)                   0/12     0.0%  [..................................................]
libaptz.a(AptCharacterInstButton.cpp)       5/11    45.5%  [######################............................]
libaptz.a(AptXmlAttributes.cpp)             4/10    40.0%  [####################..............................]
base_ngc_release_dvd.lib(e_bound3)          0/15     0.0%  [..................................................]
base_ngc_release_dvd.lib(e_boundtreenode)   13/23    56.5%  [############################......................]
base_ngc_release_dvd.lib(e_checksum)        0/6      0.0%  [..................................................]
base_ngc_release_dvd.lib(e_file)           14/27    51.9%  [#########################.........................]
base_ngc_release_dvd.lib(e_filesystem)      9/30    30.0%  [###############...................................]
base_ngc_release_dvd.lib(e_fixedpool)       2/5     40.0%  [####################..............................]
base_ngc_release_dvd.lib(e_fixedstring)     5/48    10.4%  [#####.............................................]
base_ngc_release_dvd.lib(e_hashtable)       0/25     0.0%  [..................................................]
base_ngc_release_dvd.lib(e_mat4)            1/55     1.8%  [..................................................]
base_ngc_release_dvd.lib(e_mutex)           4/17    23.5%  [###########.......................................]
base_ngc_release_dvd.lib(e_ndummy)          5/17    29.4%  [##############....................................]
base_ngc_release_dvd.lib(e_nodelist)        0/15     0.0%  [..................................................]
base_ngc_release_dvd.lib(e_quat)            3/14    21.4%  [##########........................................]
base_ngc_release_dvd.lib(e_redblacktree)    0/25     0.0%  [..................................................]
base_ngc_release_dvd.lib(e_rtquantize)      3/33     9.1%  [####..............................................]
base_ngc_release_dvd.lib(e_standard_heap)    1/59     1.7%  [..................................................]
base_ngc_release_dvd.lib(e_storable)        1/9     11.1%  [#####.............................................]
base_ngc_release_dvd.lib(e_storage)         2/25     8.0%  [####..............................................]
base_ngc_release_dvd.lib(e_string)          6/65     9.2%  [####..............................................]
base_ngc_release_dvd.lib(e_string2)         5/60     8.3%  [####..............................................]
base_ngc_release_dvd.lib(e_typeinfo)        0/5      0.0%  [..................................................]
base_ngc_release_dvd.lib(e_vec3)            0/9      0.0%  [..................................................]
base_ngc_release_dvd.lib(e_vec3decomp)      0/17     0.0%  [..................................................]
base_ngc_release_dvd.lib(fastallocpool)     4/17    23.5%  [###########.......................................]
base_ngc_release_dvd.lib(e_ngcfilesystem)    0/12     0.0%  [..................................................]
base_ngc_release_dvd.lib(e_ngcsemaphore)    4/18    22.2%  [###########.......................................]
base_ngc_release_dvd.lib(e_ngcsleep)        2/5     40.0%  [####################..............................]
base_ngc_release_dvd.lib(e_ngcsnfile)       5/13    38.5%  [###################...............................]
base_ngc_release_dvd.lib(e_ngcthread)       9/25    36.0%  [##################................................]
base_ngc_release_dvd.lib(eageneralallocator)   15/86    17.4%  [########..........................................]
base_ngc_release_dvd.lib(ea_printf)         2/19    10.5%  [#####.............................................]
base_ngc_release_dvd.lib(e_standard_trace)    0/7      0.0%  [..................................................]
base_ngc_release_dvd.lib(e_bitarray)        8/65    12.3%  [######............................................]
base_ngc_release_dvd.lib(e_memorystream)    6/19    31.6%  [###############...................................]
base_ngc_release_dvd.lib(e_pathutil)        0/11     0.0%  [..................................................]
base_ngc_release_dvd.lib(e_singlelock)      0/6      0.0%  [..................................................]
base_ngc_release_dvd.lib(e_thread)          4/9     44.4%  [######################............................]
base_ngc_release_dvd.lib(e_ngcfile)         5/13    38.5%  [###################...............................]
engine_ngc_release_dvd.lib(background)      2/18    11.1%  [#####.............................................]
engine_ngc_release_dvd.lib(e_app)          21/34    61.8%  [##############################....................]
engine_ngc_release_dvd.lib(e_engine)       19/37    51.4%  [#########################.........................]
engine_ngc_release_dvd.lib(e_main)          2/9     22.2%  [###########.......................................]
engine_ngc_release_dvd.lib(e_3dwindow)      9/46    19.6%  [#########.........................................]
engine_ngc_release_dvd.lib(e_animcontroller)    2/104    1.9%  [..................................................]
engine_ngc_release_dvd.lib(e_graphics)     47/94    50.0%  [#########################.........................]
engine_ngc_release_dvd.lib(e_mirrorportal)    2/15    13.3%  [######............................................]
engine_ngc_release_dvd.lib(e_primitive)     0/13     0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_rc)           22/108   20.4%  [##########........................................]
engine_ngc_release_dvd.lib(e_shader)       15/45    33.3%  [################..................................]
engine_ngc_release_dvd.lib(e_submodel)      2/31     6.5%  [###...............................................]
engine_ngc_release_dvd.lib(e_submodelshader)    5/50    10.0%  [#####.............................................]
engine_ngc_release_dvd.lib(e_window)        9/36    25.0%  [############......................................]
engine_ngc_release_dvd.lib(psystem)         2/34     5.9%  [##................................................]
engine_ngc_release_dvd.lib(e_cheatmenu)     3/8     37.5%  [##################................................]
engine_ngc_release_dvd.lib(e_ctrl)         13/86    15.1%  [#######...........................................]
engine_ngc_release_dvd.lib(e_debugmenu)     2/10    20.0%  [##########........................................]
engine_ngc_release_dvd.lib(e_frag)          0/9      0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_misc)          1/22     4.5%  [##................................................]
engine_ngc_release_dvd.lib(e_tweak)         0/13     0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_vibrate)       5/25    20.0%  [##########........................................]
engine_ngc_release_dvd.lib(interestfade)    0/14     0.0%  [..................................................]
engine_ngc_release_dvd.lib(lzsscompressor)    0/8      0.0%  [..................................................]
engine_ngc_release_dvd.lib(textureutils)    0/14     0.0%  [..................................................]
engine_ngc_release_dvd.lib(tgawiter)        0/12     0.0%  [..................................................]
engine_ngc_release_dvd.lib(bsplinevolume)    2/21     9.5%  [####..............................................]
engine_ngc_release_dvd.lib(e_redithtreeset)   10/29    34.5%  [#################.................................]
engine_ngc_release_dvd.lib(e_resloader)     7/57    12.3%  [######............................................]
engine_ngc_release_dvd.lib(e_resource)     33/47    70.2%  [###################################...............]
engine_ngc_release_dvd.lib(e_resprefetch)    2/25     8.0%  [####..............................................]
engine_ngc_release_dvd.lib(e_resprefetchfile)    8/16    50.0%  [#########################.........................]
engine_ngc_release_dvd.lib(e_rflash)       18/35    51.4%  [#########################.........................]
engine_ngc_release_dvd.lib(e_rfont)        20/50    40.0%  [####################..............................]
engine_ngc_release_dvd.lib(e_rmodel)       38/96    39.6%  [###################...............................]
engine_ngc_release_dvd.lib(e_rmovie)        0/10     0.0%  [..................................................]
engine_ngc_release_dvd.lib(e_rquickdata)    4/25    16.0%  [########..........................................]
engine_ngc_release_dvd.lib(e_rshader)      24/76    31.6%  [###############...................................]
engine_ngc_release_dvd.lib(e_rtexture)     17/31    54.8%  [###########################.......................]
engine_ngc_release_dvd.lib(hddthread)      14/45    31.1%  [###############...................................]
engine_ngc_release_dvd.lib(reffects_attachment)   14/23    60.9%  [##############################....................]
engine_ngc_release_dvd.lib(e_ambientscoreman)    5/9     55.6%  [###########################.......................]
engine_ngc_release_dvd.lib(e_animman)       5/9     55.6%  [###########################.......................]
engine_ngc_release_dvd.lib(e_audiostreamman)    2/8     25.0%  [############......................................]
engine_ngc_release_dvd.lib(e_binaryman)     4/8     50.0%  [#########################.........................]
engine_ngc_release_dvd.lib(e_characterman)    3/8     37.5%  [##################................................]
engine_ngc_release_dvd.lib(e_ctrlmanager)    5/54     9.3%  [####..............................................]
engine_ngc_release_dvd.lib(e_datasetman)   12/26    46.2%  [#######################...........................]
engine_ngc_release_dvd.lib(e_edithtreesetman)    5/9     55.6%  [###########################.......................]
engine_ngc_release_dvd.lib(e_flashman)      5/9     55.6%  [###########################.......................]
engine_ngc_release_dvd.lib(e_fontman)       2/7     28.6%  [##############....................................]
engine_ngc_release_dvd.lib(e_modelman)      5/9     55.6%  [###########################.......................]
engine_ngc_release_dvd.lib(e_movieman)      3/9     33.3%  [################..................................]
engine_ngc_release_dvd.lib(e_quickdataman)    6/13    46.2%  [#######################...........................]
